lineup_id,country,channel_type,channel_id,dn_1,dn_2,dn_3,call_sign,channel_number,feed,network_base,city,region,brand_scope,resolution,final_display_name
10273,US,specialty,11121.stations.xmltv.tvmedia.ca,BBC America - East HD,BBC-HD,689,BBC-HD,689,,BBC America - East HD,,,,,
10273,US,specialty,6957.stations.xmltv.tvmedia.ca,Comedy Central HD - Eastern Feed,COMC,690,COMC,690,,Comedy Central HD - Eastern Feed,,,,,
10273,US,specialty,7506.stations.xmltv.tvmedia.ca,FXX USA HD - Eastern,FXX-HD,691,FXX-HD,691,,FXX USA HD - Eastern,,,,,
10273,US,specialty,8836.stations.xmltv.tvmedia.ca,ReelzChannel HD,REELZ,692,REELZ,692,,ReelzChannel HD,,,,,
10273,US,specialty,10370.stations.xmltv.tvmedia.ca,POP HD - East,POPHD,694,POPHD,694,,POP HD - East,,,,,
10273,US,specialty,18804.stations.xmltv.tvmedia.ca,Comedy.TV HD,COMEDY,695,COMEDY,695,,Comedy.TV HD,,,,,
10273,US,specialty,6659.stations.xmltv.tvmedia.ca,E! Entertainment USA HD - East,E!-HD,696,,696,,E! Entertainment USA HD - East,,,,,
10273,US,specialty,7300.stations.xmltv.tvmedia.ca,VICE HD,VICE-HD,697,VICE-HD,697,,VICE HD,,,,,
10273,US,specialty,6110.stations.xmltv.tvmedia.ca,Freeform HD - East Feed,FREEHD,699,FREEHD,699,,Freeform HD - East Feed,,,,,
10273,US,specialty,4525.stations.xmltv.tvmedia.ca,MTV USA HD - Eastern,MTVHD,710,MTVHD,710,,MTV USA HD - Eastern,,,,,
10273,US,specialty,10276.stations.xmltv.tvmedia.ca,MTV 2 East HD,MTV2-HD,711,MTV2-HD,711,,MTV 2 East HD,,,,,
10273,US,specialty,6080.stations.xmltv.tvmedia.ca,MTV Live,MTVL,715,MTVL,715,,MTV Live,,,,,
10273,US,specialty,6221.stations.xmltv.tvmedia.ca,FUSE TV HD - Eastern,FUSE,716,FUSE,716,,FUSE TV HD - Eastern,,,,,
