provider	xmltv_id	channel_number	canonical_name	alt_names	country	region	category	edge_case	exclude	hd_flag	duplicate_flag	network_group	icon_url	url	notes
US	2093.stations.xmltv.tvmedia.ca	473	MTV Classic - East	MTV-C|473	CA		Music	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s22561_h15_ad.png		
US	5272.stations.xmltv.tvmedia.ca	490	Crime & Investigation Network USA	CIN|490	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s61469_h15_ab.png	www.aetninternational.com/build_ci.jsp	
US	176.stations.xmltv.tvmedia.ca	501	Turner Classic Movies USA	TCM|501	CA		Movies	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s12852_h15_ab.png	www.tcm.com	
US	1848.stations.xmltv.tvmedia.ca	505	SundanceTV USA - East	SUND|505	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s16108_h9_aa.png		
US	1308.stations.xmltv.tvmedia.ca	506	FX Movie Channel	FXM|506	CA		Movies	False	False	False	False	FX	http://cdn.tvpassport.com/image/station/76x28/v2/s70253_h15_aa.png	www.fxnetworks.com/fxm	
US	667.stations.xmltv.tvmedia.ca	517	Starz Encore - Eastern	STZENC|517	CA		Movies	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10178_h15_ac.png		
US	34659.stations.xmltv.tvmedia.ca	519	ScreenPix	PIX|519	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s113001_h15_aa.png		
US	2078.stations.xmltv.tvmedia.ca	529	Starz Encore Action - Eastern	STZEAC|529	CA		Movies	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s14871_h15_ab.png		
US	583.stations.xmltv.tvmedia.ca	533	Starz - Eastern	STARZ|533	CA		Movies	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s12719_h15_ac.png		
US	7610.stations.xmltv.tvmedia.ca	535	MGM+ HD - East	MGM-HD|535	CA		Entertainment	False	False	True	True	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s65687_h15_ag.png		Duplicate channel ID
US	7609.stations.xmltv.tvmedia.ca	536	MGM+ - East	MGM|536	CA		Entertainment	False	False	False	True	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s65669_h15_ae.png		Duplicate channel ID
US	11485.stations.xmltv.tvmedia.ca	537	MGM+ Hits- East	MGMHIT|537	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s73075_h15_ad.png		
US	11486.stations.xmltv.tvmedia.ca	538	MGM+ Marquee	MGMMAR|538	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s74320_h15_ac.png		
US	11487.stations.xmltv.tvmedia.ca	539	MGM+ Drive-In	MGMDRV|539	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s68409_h15_ad.png		
US	614.stations.xmltv.tvmedia.ca	550	HBO - Eastern Feed	HBO|550	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10240_h15_aa.png		
US	1472.stations.xmltv.tvmedia.ca	551	HBO - Pacific Feed	HBOP|551	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10240_h15_aa.png		
US	626.stations.xmltv.tvmedia.ca	552	HBO Hits - Eastern Feed	HBOHIT|552	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v3/10241-5002.png		
US	1651.stations.xmltv.tvmedia.ca	554	HBO Drama (HBO 3) - Eastern	HBODRMA|554	CA	HBO 3	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v3/10243-5006.png		
US	629.stations.xmltv.tvmedia.ca	559	HBO Comedy - East	HBOC|559	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s18429_h15_aa.png	www.hbo.com	
US	630.stations.xmltv.tvmedia.ca	560	HBO Movies - East	HBOMOV|560	CA		Movies	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v3/18431-8FFE.png	www.hbo.com	
US	1215.stations.xmltv.tvmedia.ca	561	Cinemax - Pacific Feed	MAX1|561	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10120_h15_ab.png		
