provider	xmltv_id	channel_number	canonical_name	alt_names	country	region	category	edge_case	exclude	hd_flag	duplicate_flag	network_group	icon_url	url	notes
CA	8488.stations.xmltv.tvmedia.ca	232	CITY Calgary, AB HD	CKAL|232	CA		Entertainment	False	False	True	False	Citytv	http://cdn.tvpassport.com/image/station/76x28/v2/s10125_h15_ab.png	www.a-channel.com	
CA	3936.stations.xmltv.tvmedia.ca	233	CITY Vancouver, BC HD	CKVUHD|233	CA		Entertainment	False	False	True	False	Citytv	http://cdn.tvpassport.com/image/station/76x28/v2/s10136_h15_aa.png	www.citytv.com/vancouver	
CA	10811.stations.xmltv.tvmedia.ca	234	CITY On Demand	CITOD|234	CA		OnDemand	False	True	False	False	Citytv			Excluded (OnDemand/Religious)
CA	199.stations.xmltv.tvmedia.ca	240	CJON (NTV) St-John, NL	CJON|240	CA	NTV	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s72728_h15_ac.png	WWW.NTV.CA	
CA	3661.stations.xmltv.tvmedia.ca	250	ABC (WCVB) Boston, MA HD	WCVB-HD|250	US	WCVB	Entertainment	False	False	True	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png	www.wcvb.com/	
CA	3653.stations.xmltv.tvmedia.ca	255	CBS (WBZ) Boston, MA HD	WBZ-HD|255	US	WBZ	Entertainment	False	False	True	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10098_h15_ac.png	www.wbz.com/	
CA	30951.stations.xmltv.tvmedia.ca	260	NBC (WBTS-CD) Nashua, NH	WBTS-CD|260	CA	WBTS-CD	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10991_h15_ad.png		
CA	3657.stations.xmltv.tvmedia.ca	265	FOX (WFXT) Boston, MA HD	WFXT-HD|265	US	WFXT	Entertainment	False	False	True	False	FX	http://cdn.tvpassport.com/image/station/76x28/v2/s10212_h15_ab.png	www.fox25.com	
CA	5897.stations.xmltv.tvmedia.ca	270	PBS (WGBH) Boston, MA HD	WGBH-HD|270	US	WGBH	Entertainment	True	False	True	False	PBS	http://cdn.tvpassport.com/image/station/76x28/v2/s11039_h15_ab.png	www.wgbh.org/	
CA	11336.stations.xmltv.tvmedia.ca	275	MNT (WWOR) New York, NY HD	WWOR-HD|275	US	WWOR	Entertainment	False	False	True	False	Specialty		www.upn9.com	
CA	3662.stations.xmltv.tvmedia.ca	280	WSBK (TV-38) Boston HD	WSBK-HD|280	US	TV-38	Entertainment	False	False	True	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s32723_h9_ab.png		
CA	4794.stations.xmltv.tvmedia.ca	286	WPIX New York (SUPERSTATION) HD	WPIX-HD|286	US	SUPERSTATION	Entertainment	False	False	True	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s11779_h15_aa.png		
CA	3886.stations.xmltv.tvmedia.ca	300	A&E Canada HD	A&E-HD|300	CA		Entertainment	False	False	True	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s55097_h9_aa.png	WWW.AETV.COM	
CA	4161.stations.xmltv.tvmedia.ca	301	Showcase Canada HD	SHOWHD|301	CA		Entertainment	False	False	True	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s53711_h15_aa.png	www.showcase.ca/	
CA	6797.stations.xmltv.tvmedia.ca	302	CTV Drama HD	CTVDR-HD|302	CA		Entertainment	False	False	True	False	CTV	http://cdn.tvpassport.com/image/station/76x28/v2/s73549_h15_ab.png	www.bravo.ca	
