provider	xmltv_id	channel_number	canonical_name	alt_names	country	region	category	edge_case	exclude	hd_flag	duplicate_flag	network_group	icon_url	url	notes
US	1077.stations.xmltv.tvmedia.ca	310	ESPN Classics USA	ESPNC|310	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s15451_h15_aa.png		
US	1827.stations.xmltv.tvmedia.ca	311	Fox Deportes	FOXD|311	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s15377_h15_ab.png		
US	14986.stations.xmltv.tvmedia.ca	315	FanDuel TV	TVG|315	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s103679_h15_ab.png	www.tvg.com	
US	535.stations.xmltv.tvmedia.ca	316	FanDuel Racing	TVG2|316	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s32258_h15_ab.png	www.tvg.com	
US	33964.stations.xmltv.tvmedia.ca	329	ACC Network	ACCN|329	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s111905_h15_ac.png		
US	4499.stations.xmltv.tvmedia.ca	330	Big Ten Network	B10|330	CA		Entertainment	False	False	False	True	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s56783_h15_ab.png		Duplicate channel ID
US	11580.stations.xmltv.tvmedia.ca	331	Big Ten Network - Alternate	B10|331	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s56783_h15_ab.png	www.bigtennetwork.com	
US	13759.stations.xmltv.tvmedia.ca	332	SEC Network Alternate	SEC-A|332	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s89739_h15_aa.png	www.secdigitalnetwork.com/	
US	6921.stations.xmltv.tvmedia.ca	335	NFL RedZone	NFLN|335	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s65024_h9_aa.png	www.nfl.com/ticket/	
US	583.stations.xmltv.tvmedia.ca	340	Starz - Eastern	STARZ|340	CA		Movies	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s12719_h15_ac.png		
US	1217.stations.xmltv.tvmedia.ca	341	Starz - Pacific	STARZ|341	CA		Movies	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s12719_h15_ac.png	www.starzencore.com	
